ablation,dataset,nodes,edges,forks,edge_tp,edge_fp,edge_fn,div_tp,div_fp,div_fn,adj_edge_jaccard,adj_edge_jaccard_6bba
full,44b6_0113de3b,25218,24471,35,47.0,2.0,3.0,0.0,0.0,0.0,0.905730702029479,
full,44b6_0b24845f,20654,19402,78,49.0,0.0,0.0,0.0,0.0,0.0,1.0370208873303857,
full,6bba_05b6850b,6048,5839,9,833.0,9.0,12.0,0.0,1.0,0.0,0.9802240248194969,
full,6bba_05db0fb1,69203,67163,203,1091.0,136.0,92.0,0.0,2.0,3.0,0.8278492291416394,
full,__AGGREGATE__,121123,116875,325,,,,,,,0.8913616844408068,0.8877332951834666
no_motion_relink,44b6_0113de3b,25201,24477,60,48.0,0.0,2.0,0.0,0.0,0.0,0.962064997087944,
no_motion_relink,44b6_0b24845f,20069,18667,80,49.0,0.0,0.0,0.0,0.0,0.0,1.0388046958377801,
no_motion_relink,6bba_05b6850b,5946,5711,13,823.0,4.0,22.0,0.0,2.0,0.0,0.9757143137496672,
no_motion_relink,6bba_05db0fb1,68272,65498,252,1094.0,91.0,89.0,0.0,2.0,3.0,0.8605925339498814,
no_motion_relink,__AGGREGATE__,119488,114353,405,,,,,,,0.9107925385130805,0.9066304006715104
no_gap_close,44b6_0113de3b,25021,24238,37,47.0,2.0,3.0,0.0,0.0,0.0,0.9064220539701029,
no_gap_close,44b6_0b24845f,18685,17316,76,49.0,0.0,0.0,0.0,0.0,0.0,1.043024851349291,
no_gap_close,6bba_05b6850b,5968,5751,9,824.0,9.0,21.0,0.0,1.0,0.0,0.9708466620088391,
no_gap_close,6bba_05db0fb1,67979,65675,239,1084.0,138.0,99.0,0.0,5.0,3.0,0.8227312858844021,
no_gap_close,__AGGREGATE__,117653,112980,361,,,,,,,0.8849618816043078,0.880887851958089
no_filter_short_tracks,44b6_0113de3b,25600,24749,35,49.0,2.0,1.0,0.0,0.0,0.0,0.9428747965294267,
no_filter_short_tracks,44b6_0b24845f,23422,21429,78,49.0,0.0,0.0,0.0,0.0,0.0,1.0285805763073639,
no_filter_short_tracks,6bba_05b6850b,6329,6048,9,833.0,9.0,12.0,0.0,1.0,0.0,0.9759157858390753,
no_filter_short_tracks,6bba_05db0fb1,70439,68080,203,1093.0,138.0,90.0,0.0,2.0,3.0,0.8266460168449273,
no_filter_short_tracks,__AGGREGATE__,125790,120306,325,,,,,,,0.889657911694776,0.8852558479810204
no_safe_divisions,44b6_0113de3b,25205,24426,0,47.0,2.0,3.0,0.0,0.0,0.0,0.9057763242387588,
no_safe_divisions,44b6_0b24845f,20568,19261,0,49.0,0.0,0.0,0.0,0.0,0.0,1.0372831224271992,
no_safe_divisions,6bba_05b6850b,6030,5817,0,832.0,8.0,13.0,0.0,0.0,0.0,0.9804710191262378,
no_safe_divisions,6bba_05db0fb1,69050,66847,0,1090.0,135.0,93.0,0.0,0.0,3.0,0.8278992438834563,
no_safe_divisions,__AGGREGATE__,120853,116351,0,,,,,,,0.891478972100539,0.8878456852846967
no_linefit_smooth,44b6_0113de3b,25218,24471,35,47.0,2.0,3.0,0.0,0.0,0.0,0.905730702029479,
no_linefit_smooth,44b6_0b24845f,20654,19402,78,49.0,0.0,0.0,0.0,0.0,0.0,1.0370208873303857,
no_linefit_smooth,6bba_05b6850b,6048,5839,9,833.0,9.0,12.0,0.0,1.0,0.0,0.9802240248194969,
no_linefit_smooth,6bba_05db0fb1,69203,67163,203,1091.0,130.0,92.0,0.0,2.0,3.0,0.8316322416129645,
no_linefit_smooth,__AGGREGATE__,121123,116875,325,,,,,,,0.8937197841350946,0.8901912553916349
ilp_only,44b6_0113de3b,25533,24565,0,50.0,0.0,0.0,0.0,0.0,0.0,1.0008619685497961,
ilp_only,44b6_0b24845f,22936,19815,0,49.0,0.0,0.0,0.0,0.0,0.0,1.0300625095288916,
ilp_only,6bba_05b6850b,6309,5927,0,821.0,3.0,24.0,0.0,0.0,0.0,0.9689669240419235,
ilp_only,6bba_05db0fb1,69962,65469,0,1095.0,79.0,88.0,0.0,0.0,3.0,0.8674689854190601,
ilp_only,__AGGREGATE__,124740,115776,0,,,,,,,0.9130583850524266,0.9082605740219929
