archive,public_score,delta_from_reference,fitted_delta,residual,changed_tasks,evidence
account_baseline,7267.320000,-2.420000,-2.422502,-0.002502,72,Kaggle submission 54487100
account_plus_ryosuke_7,7267.190000,-2.550000,-2.549996,0.000004,74,Kaggle submission 54529022
account_plus_ryosuke_5,7267.270000,-2.470000,-2.472500,-0.002500,74,Kaggle submission 54529420
account_plus_ryosuke_a3,7267.290000,-2.450000,-2.447501,0.002499,73,Kaggle submission 54529552
account_plus_ryosuke_b2,7267.290000,-2.450000,-2.447501,0.002499,73,Kaggle submission 54529559
account_plus_frank_task074,7267.240000,-2.500000,-2.499995,0.000005,72,Kaggle submission 54619246
poby_7268,7268.000000,-1.740000,-1.740000,0.000000,62,Kaggle submission 54619344
poby_rollback_six,7267.900000,-1.840000,-1.840001,-0.000001,65,Kaggle submission 54638892
lucifer_circuit_forge,7269.600000,-0.140000,-0.140000,0.000000,10,Kaggle submission 54645666
lucifer_plus_kaiwalya_six,7269.610000,-0.130000,-0.130003,-0.000003,6,Kaggle submission 54646591
current_plus_anas_054_101_396,7269.590000,-0.150000,-0.149999,0.000001,8,Kaggle submission 54647024
current_plus_anas_054,7269.590000,-0.150000,-0.149999,0.000001,7,Kaggle submission 54647140
current_plus_jonathan_197_264,7269.540000,-0.200000,-0.199997,0.000003,8,Kaggle submission 54647351
