task,arc_id,requested,generated,both_correct,base_only,donor_only,both_wrong_same,both_wrong_diff,base_runtime,donor_runtime,both_runtime,oversize_skipped,generator_failures,net_correct,classification,first_issue,issue_indices
task370,e8dc4411,128,128,127,1,0,0,0,0,0,0,0,0,-1,net-negative-risk,"example 111: base-only correct, donor differs by 4 cells",[111]
task355,de1cd16c,128,128,126,2,0,0,0,0,0,0,0,0,-2,net-negative-risk,"example 68: base-only correct, donor differs by 2 cells","[68, 103]"
task251,a5313dff,128,128,127,1,0,0,0,0,0,0,0,0,-1,net-negative-risk,"example 115: base-only correct, donor differs by 4 cells",[115]
task157,6a1e5592,128,128,119,0,7,0,1,1,0,0,0,0,7,runtime-or-empty,"example 22: donor-only correct, base differs by 18 cells","[22, 30, 31, 45, 54, 78, 107, 116, 120]"
task095,4258a5f9,128,128,128,0,0,0,0,0,0,0,0,0,0,no-regression,,[]
task382,f15e1fac,128,128,128,0,0,0,0,0,0,0,0,0,0,no-regression,,[]
task330,d2abd087,128,128,123,5,0,0,0,0,0,0,0,0,-5,net-negative-risk,"example 26: base-only correct, donor differs by 12 cells","[26, 57, 62, 66, 84]"
task050,253bf280,128,128,128,0,0,0,0,0,0,0,0,0,0,no-regression,,[]
task255,a64e4611,128,128,119,2,3,3,1,0,0,0,0,0,1,net-positive-risk,"example 24: both wrong same, differ by 38 cells","[24, 43, 48, 67, 69, 73, 83, 93, 111]"
task246,a2fd1cf0,128,128,128,0,0,0,0,0,0,0,0,0,0,no-regression,,[]
task173,72322fa7,128,128,128,0,0,0,0,0,0,0,0,0,0,no-regression,,[]
task285,b775ac94,128,128,126,0,0,2,0,0,0,0,0,0,0,no-regression,"example 3: both wrong same, differ by 6 cells","[3, 99]"
task277,b230c067,128,128,128,0,0,0,0,0,0,0,0,0,0,no-regression,,[]
task366,e6721834,128,125,123,0,0,2,0,0,0,0,3,0,0,no-regression,"example 79: both wrong same, differ by 34 cells","[79, 83]"
task219,90f3ed37,128,128,77,0,0,51,0,0,0,0,0,0,0,no-regression,"example 0: both wrong same, differ by 2 cells","[0, 3, 4, 12, 13, 14, 16, 18, 20, 25, 30, 35, 37, 40, 41, 42, 44, 46, 47, 50, 51, 52, 54, 57, 62, 63, 65, 66, 67, 69, 76, 78, 80, 82, 84, 85, 86, 87, 91, 93, 94, 96, 101, 109, 112, 113, 115, 118, 120, 126]"
